Lunar Terrain Model
Lat: 31.5927 deg;Lng: 29.1079 deg;Elev: -2547 m;Azimuth: -87.00 deg
Distance in meters;Elevation in meters
-5090.160000;351.318996
-5120.640000;356.519150
-5151.120000;359.370478
-5181.600000;362.205875
-5212.080000;363.165271
-5242.560000;363.391230
-5273.040000;363.262851
-5303.520000;362.597778
-5334.000000;361.896308
-5364.480000;360.872671
-5394.960000;359.801382
-5425.440000;358.655819
-5455.920000;357.466990
-5486.400000;356.246419
-5516.880000;354.994116
-5547.360000;353.745711
-5577.840000;352.859580
-5608.320000;351.941748
-5638.800000;350.667794
-5669.280000;349.256986
-5699.760000;347.983071
-5730.240000;346.891961
-5760.720000;345.758464
-5791.200000;344.632215
-5821.680000;343.474341
-5852.160000;342.342639
-5882.640000;341.210413
-5913.120000;340.172721
-5943.600000;339.234367
-5974.080000;338.261043
-6004.560000;337.343236
-6035.040000;336.393875
-6065.520000;334.498864
-6096.000000;332.341914
-6126.480000;326.669630
-6156.960000;316.905726
-6187.440000;306.008279
-6217.920000;287.740388
-6248.400000;269.440982
-6278.880000;258.034660
-6309.360000;248.264549
-6339.840000;236.600840
-6370.320000;222.897392
-6400.800000;208.967267
-6431.280000;193.749049
-6461.760000;178.515141
-6492.240000;162.912006
-6522.720000;147.217114
-6553.200000;131.506547
-6583.680000;115.780310
-6614.160000;100.012006
-6644.640000;84.106130
-6675.120000;68.200333
-6705.600000;52.294614
-6736.080000;36.388972
-6766.560000;20.323838
-6797.040000;4.095018
-6827.520000;-12.308167
-6858.000000;-29.427505
-6888.480000;-46.562472
-6918.960000;-63.344829
-6949.440000;-80.081414
-6979.920000;-96.766696
-7010.400000;-113.432133
-7040.880000;-129.055373
-7071.360000;-140.381892
-7101.840000;-151.692619
-7132.320000;-164.469060
-7162.800000;-177.457455
-7193.280000;-190.436689
-7223.760000;-203.432549
-7254.240000;-215.854742
-7284.720000;-226.652927
-7315.200000;-237.513683
-7345.680000;-249.558509
-7376.160000;-261.787552
-7406.640000;-274.469287
-7437.120000;-287.474985
-7467.600000;-300.509970
-7498.080000;-313.659160
-7528.560000;-326.839523
-7559.040000;-339.973220
-7589.520000;-353.115338
-7620.000000;-366.331831
-7650.480000;-379.618599
-7680.960000;-392.906841
-7711.440000;-406.129164
-7741.920000;-419.366978
-7772.400000;-432.620277
-7802.880000;-445.889056
-7833.360000;-459.243811
-7863.840000;-472.636379
